STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,12-NOV-2020,1.501,1.49,1.479,100.496,100.499,100.501,.257,.132,-.028,-.028,-.028,.003,.003,.002,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,12-NOV-2020,1.601,1.59,1.579,101.707,101.714,101.721,.659,.765,.05,.05,.05,-.041,-.041,-.042,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,12-NOV-2020,1.522,1.511,1.5,102.204,102.214,102.224,.865,1.182,-.048,-.048,-.048,.036,.036,.036,5
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,12-NOV-2020,1.606,1.595,1.584,102.086,102.098,102.11,1.015,1.554,.02,.02,.02,-.026,-.026,-.026,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,12-NOV-2020,1.724,1.713,1.702,102.815,102.83,102.845,1.287,2.317,.018,.018,.018,-.03,-.03,-.03,4.7
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,12-NOV-2020,1.724,1.713,1.702,102.919,102.938,102.957,1.695,3.766,-.018,-.018,-.018,.026,.026,.026,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,12-NOV-2020,1.728,1.717,1.706,103.809,103.83,103.851,1.812,4.242,.034,.034,.034,-.07,-.07,-.07,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,12-NOV-2020,1.811,1.8,1.789,103.805,103.83,103.856,2.237,6.23,-.007,-.007,-.007,.011,.01,.01,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,12-NOV-2020,1.847,1.836,1.825,104.53,104.557,104.584,2.327,6.692,-.005,-.005,-.005,.007,.007,.007,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,12-NOV-2020,1.907,1.896,1.885,105.069,105.1,105.13,2.607,8.308,0,0,0,-.006,-.005,-.005,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,12-NOV-2020,2.017,2.006,1.995,105.032,105.071,105.11,3.33,13.242,.012,.012,.012,-.045,-.045,-.045,4.7
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,12-NOV-2020,2.007,1.996,1.985,107.66,107.7,107.741,3.378,13.662,-.011,-.011,-.011,.035,.035,.035,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,12-NOV-2020,2.016,2.005,1.994,107.591,107.634,107.676,3.59,15.233,.016,.016,.016,-.066,-.066,-.067,4
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,12-NOV-2020,2.131,2.115,2.099,107.215,107.284,107.352,3.981,18.6,.023,.023,.023,-.104,-.104,-.105,3.3
