STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,19-OCT-2020,1.448,1.436,1.424,100.639,100.643,100.646,.322,.207,-.014,-.014,-.014,-.011,-.011,-.012,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,19-OCT-2020,1.457,1.445,1.433,101.978,101.987,101.996,.724,.888,-.014,-.014,-.014,-.011,-.011,-.011,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,19-OCT-2020,1.513,1.501,1.489,102.377,102.388,102.399,.931,1.333,-.011,-.011,-.011,-.009,-.01,-.011,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,19-OCT-2020,1.541,1.529,1.517,102.286,102.3,102.313,1.08,1.723,-.015,-.015,-.015,-.001,0,-.001,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,19-OCT-2020,1.606,1.594,1.582,103.12,103.137,103.154,1.354,2.526,-.013,-.013,-.013,0,0,0,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,19-OCT-2020,1.719,1.707,1.695,103.036,103.058,103.08,1.759,4.022,-.009,-.009,-.009,.004,.004,.004,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,19-OCT-2020,1.736,1.724,1.712,103.927,103.95,103.974,1.878,4.516,-.008,-.008,-.008,.001,0,.001,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,19-OCT-2020,1.786,1.774,1.762,103.971,104,104.029,2.303,6.562,-.006,-.006,-.006,0,0,0,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,19-OCT-2020,1.8,1.788,1.776,104.768,104.798,104.828,2.351,6.912,-.005,-.005,-.005,-.002,-.002,-.002,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,19-OCT-2020,1.816,1.804,1.792,105.446,105.48,105.514,2.673,8.69,-.012,-.012,-.012,.019,.019,.019,4.3
