STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VK160230,MYBVK1602302,PTPTN IMTN 27.07.2023,16-OCT-2020,2.091,2.056,2.021,104.855,104.952,105.049,2.616,8.363,-.005,-.005,-.005,.009,.009,.009,2.7
VJ170236,MYBVJ1702369,PTPTN IMTN 4.290% 17.08.2023,16-OCT-2020,2.098,2.068,2.038,106.001,106.087,106.172,2.661,8.64,-.004,-.004,-.004,.005,.006,.006,3
VK170111,MYBVK1701112,PTPTN IMTN 14.03.2024,16-OCT-2020,2.178,2.143,2.108,106.842,106.961,107.081,3.175,12.044,.004,.004,.004,-.019,-.02,-.019,2
VN160231,MYBVN1602314,PTPTN IMTN 27.07.2026,16-OCT-2020,2.507,2.467,2.427,109.051,109.276,109.502,5.115,30.609,.001,.001,.001,-.01,-.01,-.01,1.3
VN170112,MYBVN1701124,PTPTN IMTN 12.03.2027,16-OCT-2020,2.583,2.543,2.503,110.957,111.207,111.457,5.601,36.629,.008,.008,.008,-.054,-.054,-.055,1.3
VS160232,MYBVS1602321,PTPTN IMTN 25.07.2031,16-OCT-2020,3.065,3.03,2.995,113.077,113.421,113.766,8.599,88.711,.059,.059,.059,-.583,-.585,-.588,2.7
VS170113,MYBVS1701131,PTPTN IMTN 12.03.2032,16-OCT-2020,3.147,3.102,3.057,116.308,116.778,117.251,8.936,96.409,.078,.078,.078,-.82,-.824,-.828,0
VS170237,MYBVS1702378,PTPTN IMTN 4.930% 17.08.2032,16-OCT-2020,3.188,3.148,3.108,117.058,117.49,117.924,9.145,101.753,.091,.091,.091,-.989,-.993,-.997,1.7
VS180036,MYBVS1800362,PTPTN IMTN 4.900% 21.01.2033,16-OCT-2020,3.24,3.195,3.15,116.683,117.181,117.681,9.373,107.556,.103,.103,.103,-1.146,-1.152,-1.159,0
VX170114,MYBVX1701149,PTPTN IMTN 13.03.2037,16-OCT-2020,3.545,3.515,3.485,117.364,117.775,118.188,11.615,170.465,.102,.102,.102,-1.408,-1.414,-1.42,3
VZ160233,MYBVZ1602334,PTPTN IMTN 26.07.2041,16-OCT-2020,3.809,3.769,3.729,114.845,115.472,116.103,13.498,240.599,.049,.049,.049,-.77,-.776,-.782,1.7
VI160252,MYBVI1602520,SARAWAKHIDRO IMTN 4.21% 11.08.2021,16-OCT-2020,2.301,2.244,2.187,101.538,101.584,101.631,.8,1.04,-.011,-.011,-.011,.004,.003,.004,0
VJ160251,MYBVJ1602510,SARAWAKHIDRO IMTN 4.25% 11.08.2022,16-OCT-2020,2.421,2.364,2.307,103.233,103.336,103.439,1.738,3.946,-.002,-.002,-.002,-.001,-.001,-.002,0
VK160250,MYBVK1602500,SARAWAKHIDRO IMTN 4.29% 11.08.2023,16-OCT-2020,2.544,2.487,2.43,104.718,104.877,105.036,2.638,8.506,0,0,0,-.004,-.004,-.004,0
VL160249,MYBVL1602490,SARAWAKHIDRO IMTN 4.34% 09.08.2024,16-OCT-2020,2.646,2.599,2.552,106.103,106.279,106.455,3.494,14.533,.003,.003,.003,-.016,-.016,-.016,2
VM160248,MYBVM1602480,SARAWAKHIDRO IMTN 4.38% 11.08.2025,16-OCT-2020,2.732,2.685,2.638,107.391,107.611,107.832,4.326,22.019,.008,.008,.008,-.041,-.042,-.041,2.3
VN160247,MYBVN1602470,SARAWAKHIDRO IMTN 4.43% 11.08.2026,16-OCT-2020,2.8,2.753,2.706,108.693,108.957,109.221,5.118,30.71,.011,.011,.011,-.066,-.066,-.066,2.3
VO160246,MYBVO1602460,SARAWAKHIDRO IMTN 4.47% 11.08.2027,16-OCT-2020,2.904,2.852,2.8,109.621,109.959,110.298,5.875,40.513,.009,.009,.009,-.062,-.062,-.063,1.7
