STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,03-NOV-2020,1.415,1.404,1.393,100.567,100.57,100.573,.281,.158,0,0,0,-.006,-.006,-.006,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,03-NOV-2020,1.474,1.463,1.452,101.857,101.865,101.873,.683,.811,-.06,-.06,-.06,.035,.035,.035,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,03-NOV-2020,1.54,1.529,1.518,102.249,102.259,102.269,.889,1.237,0,0,0,-.007,-.007,-.007,5
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,03-NOV-2020,1.547,1.536,1.525,102.198,102.21,102.222,1.039,1.617,.001,.001,.001,-.006,-.006,-.006,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,03-NOV-2020,1.615,1.604,1.593,103.016,103.031,103.046,1.312,2.396,.002,.002,.002,-.009,-.009,-.009,4.7
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,03-NOV-2020,1.67,1.659,1.648,103.055,103.075,103.095,1.719,3.863,.006,.006,.006,-.015,-.015,-.015,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,03-NOV-2020,1.692,1.681,1.67,103.929,103.95,103.971,1.837,4.346,-.003,-.003,-.003,0,0,0,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,03-NOV-2020,1.769,1.758,1.747,103.944,103.97,103.996,2.263,6.355,.011,.011,.011,-.03,-.03,-.03,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,03-NOV-2020,1.801,1.79,1.779,104.689,104.717,104.744,2.352,6.822,-.021,-.021,-.021,.047,.047,.047,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,03-NOV-2020,1.819,1.808,1.797,105.359,105.39,105.421,2.632,8.455,.014,.014,.014,-.044,-.044,-.044,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,03-NOV-2020,1.926,1.915,1.904,105.391,105.43,105.469,3.357,13.431,.032,.032,.032,-.116,-.117,-.117,4.7
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,03-NOV-2020,1.921,1.91,1.899,108.029,108.07,108.111,3.404,13.853,.021,.021,.021,-.084,-.084,-.084,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,03-NOV-2020,1.925,1.914,1.903,107.992,108.035,108.078,3.617,15.438,.023,.023,.023,-.096,-.096,-.096,4
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,03-NOV-2020,2.048,2.032,2.016,107.614,107.683,107.753,4.008,18.828,.027,.027,.027,-.123,-.124,-.123,3.3
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,03-NOV-2020,2.093,2.067,2.041,112.217,112.341,112.465,4.192,20.882,.03,.03,.03,-.147,-.147,-.147,1.7
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,03-NOV-2020,2.046,2.035,2.024,108.797,108.85,108.904,4.425,22.848,.03,.03,.03,-.15,-.15,-.15,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,03-NOV-2020,2.178,2.162,2.146,111.313,111.4,111.487,4.876,27.719,.03,.03,.03,-.172,-.172,-.172,3
ML190001,MYBML1900018,MGS 1/2019 3.906% 15.07.2026,03-NOV-2020,2.245,2.234,2.223,108.838,108.9,108.961,5.08,30.135,.094,.094,.094,-.526,-.526,-.527,4.3
MX060002,MYBMX0600028,MGS 2/2006 4.709% 15.09.2026,03-NOV-2020,2.34,2.319,2.298,112.909,113.031,113.155,5.152,31.148,.022,.022,.022,-.134,-.135,-.135,2.3
MO160003,MYBMO1600034,MGS 3/2016 3.900% 30.11.2026,03-NOV-2020,2.256,2.245,2.234,109.282,109.347,109.413,5.356,33.624,.02,.02,.02,-.121,-.121,-.121,4.3
MS120002,MYBMS1200026,MGS 2/2012 3.892% 15.03.2027,03-NOV-2020,2.447,2.426,2.405,108.466,108.595,108.724,5.636,36.844,.017,.017,.017,-.107,-.107,-.108,2.3
MX070003,MYBMX0700034,MGS 3/2007 3.502% 31.05.2027,03-NOV-2020,2.342,2.331,2.32,107.031,107.1,107.17,5.8,39.152,.016,.016,.016,-.1,-.1,-.1,5
MO170004,MYBMO1700040,MGS 4/2017 3.899% 16.11.2027,03-NOV-2020,2.441,2.43,2.419,109.375,109.45,109.524,6.088,43.51,.015,.015,.015,-.1,-.1,-.101,4.7
MS130005,MYBMS1300057,MGS 5/2013 3.733% 15.06.2028,03-NOV-2020,2.527,2.516,2.505,108.304,108.384,108.463,6.572,50.451,.016,.016,.016,-.118,-.118,-.119,4
MX080003,MYBMX0800032,MGS 3/2008 5.248% 15.09.2028,03-NOV-2020,2.537,2.526,2.515,119.214,119.3,119.387,6.555,51.012,.012,.017,.022,-.102,-.142,-.181,4
MO190002,MYBMO1900020,MGS 2/2019 3.885% 15.08.2029,03-NOV-2020,2.651,2.64,2.629,109.61,109.7,109.791,7.438,64.701,.006,.006,.006,-.049,-.05,-.049,5
MX100003,MYBMX1000038,MGS 3/2010 4.498% 15.04.2030,03-NOV-2020,2.745,2.734,2.723,114.501,114.6,114.698,7.807,71.901,.011,.011,.011,-.101,-.1,-.101,4
MO200002,MYBMO2000028,MGS 2/2020 2.632% 15.04.2031,03-NOV-2020,2.648,2.632,2.616,99.855,100,100.146,9.048,93.415,.02,.02,.02,-.18,-.18,-.18,3.3
MX110004,MYBMX1100044,MGS 4/2011 4.232% 30.06.2031,03-NOV-2020,2.831,2.82,2.809,112.814,112.922,113.03,8.592,88.255,.018,.018,.018,-.178,-.178,-.179,4
MX120004,MYBMX1200042,MGS 4/2012 4.127% 15.04.2032,03-NOV-2020,2.899,2.883,2.867,111.89,112.056,112.222,9.232,101.145,.006,.006,.006,-.067,-.067,-.067,3.7
MX130004,MYBMX1300040,MGS 4/2013 3.844% 15.04.2033,03-NOV-2020,3.133,3.122,3.111,107.283,107.4,107.518,9.937,117.478,.021,.021,.021,-.219,-.22,-.22,4
MT180003,MYBMT1800039,MGS 3/2018 4.642% 07.11.2033,03-NOV-2020,3.123,3.107,3.091,116.134,116.32,116.507,9.825,119.281,-.021,-.021,-.021,.231,.231,.232,3.7
MS190004,MYBMS1900047,MGS 4/2019 3.828% 05.07.2034,03-NOV-2020,3.073,3.062,3.051,108.372,108.5,108.628,10.526,134.601,-.035,-.035,-.035,.4,.4,.4,5
MY150004,MYBMY1500043,MGS 4/2015 4.254% 31.05.2035,03-NOV-2020,3.395,3.374,3.353,109.812,110.067,110.322,10.839,145.729,-.03,-.03,-.03,.365,.367,.368,2.7
MX170003,MYBMX1700033,MGS 3/2017 4.762% 07.04.2037,03-NOV-2020,3.382,3.366,3.35,117.279,117.501,117.723,11.767,173.773,-.063,-.063,-.063,.865,.868,.87,3
MX180004,MYBMX1800049,MGS 4/2018 4.893% 08.06.2038,03-NOV-2020,3.617,3.601,3.585,116.507,116.735,116.964,12.036,187.322,-.008,-.008,-.008,.124,.124,.124,3.7
MY190005,MYBMY1900052,MGS 5/2019 3.757% 22.05.2040,03-NOV-2020,3.46,3.449,3.438,104.19,104.35,104.51,13.417,231.57,.003,.003,.003,-.05,-.05,-.049,4.7
MZ130007,MYBMZ1300078,MGS 7/2013 4.935% 30.09.2043,03-NOV-2020,3.946,3.93,3.914,114.828,115.092,115.356,14.276,273.98,-.012,-.012,-.012,.194,.195,.195,3.3
