STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,04-NOV-2020,1.532,1.521,1.51,100.529,100.532,100.535,.279,.155,.117,.117,.117,-.038,-.038,-.038,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,04-NOV-2020,1.67,1.659,1.648,101.713,101.721,101.729,.68,.804,.196,.196,.196,-.144,-.144,-.144,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,04-NOV-2020,1.649,1.638,1.627,102.143,102.153,102.163,.886,1.23,.109,.109,.109,-.106,-.106,-.106,5
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,04-NOV-2020,1.695,1.684,1.673,102.033,102.045,102.057,1.036,1.607,.148,.148,.148,-.165,-.165,-.165,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,04-NOV-2020,1.765,1.754,1.743,102.806,102.821,102.836,1.309,2.383,.15,.15,.15,-.21,-.21,-.21,4.7
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,04-NOV-2020,1.654,1.643,1.632,103.08,103.1,103.12,1.717,3.853,-.016,-.016,-.016,.025,.025,.025,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,04-NOV-2020,1.806,1.795,1.784,103.704,103.725,103.746,1.833,4.329,.114,.114,.114,-.225,-.225,-.225,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,04-NOV-2020,1.882,1.871,1.86,103.673,103.699,103.724,2.258,6.334,.113,.113,.113,-.271,-.271,-.272,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,04-NOV-2020,1.914,1.903,1.892,104.406,104.433,104.46,2.348,6.8,.113,.113,.113,-.283,-.284,-.284,4.3
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,04-NOV-2020,1.932,1.921,1.91,105.039,105.069,105.1,2.628,8.429,.113,.113,.113,-.32,-.321,-.321,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,04-NOV-2020,2.039,2.028,2.017,104.98,105.019,105.058,3.351,13.394,.113,.113,.113,-.411,-.411,-.411,4.7
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,04-NOV-2020,2.035,2.024,2.013,107.6,107.641,107.681,3.399,13.814,.114,.114,.114,-.429,-.429,-.43,4.3
ML170002,MYBML1700020,MGS 2/2017 4.059% 30.09.2024,04-NOV-2020,1.971,1.96,1.949,107.807,107.85,107.893,3.613,15.409,.046,.046,.046,-.185,-.185,-.185,4
MK180001,MYBMK1800012,MGS 1/2018 3.882% 14.03.2025,04-NOV-2020,2.161,2.145,2.129,107.121,107.19,107.259,4.002,18.778,.113,.113,.113,-.493,-.493,-.494,3.3
MY050003,MYBMY0500036,MGS 3/2005 4.837% 15.07.2025,04-NOV-2020,2.205,2.179,2.153,111.676,111.799,111.922,4.185,20.827,.112,.112,.112,-.541,-.542,-.543,1.7
MO150001,MYBMO1500010,MGS 1/2015 3.955% 15.09.2025,04-NOV-2020,2.159,2.148,2.137,108.246,108.3,108.352,4.418,22.789,.113,.113,.113,-.551,-.55,-.552,5
MS110003,MYBMS1100036,MGS 3/2011 4.392% 15.04.2026,04-NOV-2020,2.251,2.235,2.219,110.913,111,111.087,4.871,27.663,.073,.073,.073,-.4,-.4,-.4,3
