STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
MH170005,MYBMH1700051,MGS 5/2017 3.441% 15.02.2021,20-OCT-2020,1.453,1.441,1.429,100.632,100.636,100.64,.319,.204,.005,.005,.005,-.007,-.007,-.006,4.3
MO110001,MYBMO1100019,MGS 1/2011 4.16% 15.07.2021,20-OCT-2020,1.461,1.449,1.437,101.968,101.977,101.986,.721,.883,.004,.004,.004,-.01,-.01,-.01,5
ML140003,MYBML1400035,MGS 3/2014 4.048% 30.09.2021,20-OCT-2020,1.531,1.519,1.507,102.353,102.364,102.376,.928,1.326,.018,.018,.018,-.024,-.024,-.023,4.7
MJ160004,MYBMJ1600042,MGS 4/2016 3.620% 30.11.2021,20-OCT-2020,1.543,1.531,1.519,102.279,102.292,102.306,1.077,1.715,.002,.002,.002,-.007,-.008,-.007,4.7
MI170001,MYBMI1700018,MGS 1/2017 3.882% 10.03.2022,20-OCT-2020,1.598,1.586,1.574,103.125,103.142,103.159,1.351,2.517,-.008,-.008,-.008,.005,.005,.005,5
MO120001,MYBMO1200017,MGS 1/2012 3.418% 15.08.2022,20-OCT-2020,1.692,1.68,1.668,103.081,103.103,103.125,1.757,4.012,-.027,-.027,-.027,.045,.045,.045,4
ML150002,MYBML1500024,MGS 2/2015 3.795% 30.09.2022,20-OCT-2020,1.704,1.692,1.68,103.983,104.006,104.03,1.875,4.506,-.032,-.032,-.032,.056,.056,.056,4.3
MN130003,MYBMN1300033,MGS 3/2013 3.480% 15.03.2023,20-OCT-2020,1.747,1.735,1.723,104.061,104.09,104.119,2.301,6.551,-.039,-.039,-.039,.09,.09,.09,5
MI180002,MYBMI1800024,MGS 2/2018 3.757% 20.04.2023,20-OCT-2020,1.761,1.749,1.737,104.861,104.891,104.921,2.349,6.901,-.039,-.039,-.039,.093,.093,.093,4.7
ML160001,MYBML1600014,MGS 1/2016 3.800% 17.08.2023,20-OCT-2020,1.779,1.767,1.755,105.543,105.577,105.611,2.671,8.677,-.037,-.037,-.037,.097,.097,.097,4.3
MI190003,MYBMI1900030,MGS 3/2019 3.478% 14.06.2024,20-OCT-2020,1.879,1.867,1.855,105.615,105.659,105.702,3.396,13.713,-.019,-.019,-.019,.064,.065,.064,5
MO140001,MYBMO1400013,MGS 1/2014 4.181% 15.07.2024,20-OCT-2020,1.935,1.923,1.911,108.055,108.1,108.145,3.442,14.127,-.015,-.015,-.015,.05,.05,.05,4.3
