STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VK200190,MYBVK2001900,ZAMARAD ABS-IMTN 07.09.2027 CLASS A S4 TRANCHE 4,5-Nov-20,3.544,3.496,3.448,99.43,99.719,100.009,6.01,41.776,0.088,0.088,0.088,-0.531,-0.532,-0.534,0
VM200191,MYBVM2001914,ZAMARAD ABS-IMTN 07.03.2029 CLASS B TRANCHE 4,5-Nov-20,3.972,3.93,3.888,99.865,100.115,100.365,5.909,40.777,0.067,0.066,0.065,-0.399,-0.394,-0.389,0
UE200186,MYBUE2001863,SWIRL ABSMTN 367D 20.9.2021 (SN Tranche 1),5-Nov-20,3.145,3.107,3.069,100.045,100.077,100.11,0.853,1.151,0.044,0.044,0.044,-0.038,-0.038,-0.038,2.3
UF200187,MYBUF2001878,SWIRL ABSMTN 727D 15.9.2022 (SN Tranche 2),5-Nov-20,3.31,3.272,3.234,99.979,100.047,100.116,1.783,4.108,0.062,0.062,0.062,-0.112,-0.112,-0.111,2.3
UG200188,MYBUG2001884,SWIRL ABSMTN 1095D 18.9.2023 (SN Tranche 3),5-Nov-20,3.45,3.412,3.374,99.862,99.965,100.068,2.7,8.821,0.074,0.074,0.074,-0.2,-0.201,-0.201,2
UH200189,MYBUH2001890,SWIRL ABSMTN 1461D 18.9.2024 (SN Tranche 4),5-Nov-20,3.576,3.528,3.48,99.725,99.897,100.069,3.573,15.035,0.074,0.074,0.074,-0.265,-0.265,-0.266,0
UI200191,MYBUI2001914,SWIRL ABSMTN 1826D 18.9.2025 (SN Tranche 5),5-Nov-20,3.682,3.634,3.586,99.634,99.846,100.059,4.408,22.636,0.074,0.074,0.074,-0.327,-0.328,-0.329,0
UJ200192,MYBUJ2001920,SWIRL ABSMTN 2191D 18.9.2026 (SN Tranche 6),5-Nov-20,3.794,3.746,3.698,99.506,99.756,100.007,5.206,31.469,0.081,0.081,0.081,-0.423,-0.424,-0.425,0
UK200193,MYBUK2001936,SWIRL ABSMTN 2555D 17.9.2027 (SN Tranche 7),5-Nov-20,3.904,3.856,3.808,99.375,99.661,99.949,5.961,41.349,0.088,0.088,0.088,-0.526,-0.528,-0.529,0
UL200194,MYBUL2001942,SWIRL ABSMTN 2922D 18.9.2028 (SN Tranche 8),5-Nov-20,3.999,3.951,3.903,99.334,99.654,99.976,6.683,52.234,0.082,0.082,0.082,-0.548,-0.551,-0.553,0
VE200258,MYBVE2002588,SMS IMTN 3.330% 21.10.2021,5-Nov-20,3.29,3.215,3.14,100.036,100.107,100.177,0.936,1.34,0.019,0.019,0.019,-0.018,-0.018,-0.019,0
VF200257,MYBVF2002577,SMS IMTN 3.530% 21.10.2022,5-Nov-20,3.501,3.426,3.351,100.053,100.194,100.336,1.875,4.495,0.029,0.029,0.029,-0.055,-0.055,-0.055,0
VG200256,MYBVG2002567,SMS IMTN 3.730% 20.10.2023,5-Nov-20,3.712,3.637,3.562,100.049,100.257,100.466,2.772,9.266,0.039,0.039,0.039,-0.108,-0.109,-0.11,0
VH200255,MYBVH2002557,SMS IMTN 3.880% 21.10.2024,5-Nov-20,3.863,3.788,3.713,100.06,100.334,100.608,3.634,15.55,0.04,0.04,0.04,-0.146,-0.147,-0.148,0
VI200254,MYBVI2002548,SMS IMTN 3.980% 21.10.2025,5-Nov-20,3.962,3.887,3.812,100.079,100.414,100.751,4.456,23.165,0.039,0.039,0.039,-0.174,-0.176,-0.176,0
VJ200253,MYBVJ2002538,SMS IMTN 4.080% 21.10.2026,5-Nov-20,4.068,3.993,3.918,100.061,100.456,100.852,5.238,31.955,0.05,0.05,0.05,-0.263,-0.264,-0.266,0
VK200252,MYBVK2002528,SMS IMTN 4.180% 21.10.2027,5-Nov-20,4.173,4.098,4.023,100.04,100.491,100.943,5.98,41.765,0.06,0.06,0.06,-0.361,-0.362,-0.365,0
VL200251,MYBVL2002518,SMS IMTN 4.280% 20.10.2028,5-Nov-20,4.27,4.195,4.12,100.065,100.568,101.074,6.678,52.41,0.057,0.057,0.057,-0.382,-0.385,-0.387,0
VM200268,MYBVM2002680,SMS IMTN 4.380% 19.10.2029,5-Nov-20,4.362,4.287,4.212,100.13,100.684,101.24,7.336,63.772,0.046,0.046,0.046,-0.339,-0.341,-0.344,0
